id,Status,From date,To date,Document name,Date published,Issue Number,Name,Category,Description,Detailed Description,Estimated Impact / Target Audience,Owner
51,Accepted,,,PROFORMA/51/AI,2025-11-20 00:00:00,51.00/324PLN,Mahan's Idea,AI,s desc,d desc,nobody,admin
50,Accepted,2025-11-13 00:00:00,2025-11-23 00:00:00,PROFORMA/19/11/2025,,178.50/257PLN,Project 50: AI-powered Innovation,TRANSPORT,AI-powered drug discovery acceleration platform.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Students, Researchers, Academic institutions",user4
49,Accepted,2025-11-03 00:00:00,2025-11-08 00:00:00,PROFORMA/08/11/2025,,445.35/178PLN,Project 49: Collaborative Innovation,HEALTH,Collaborative research paper annotation tool. Hello this seems to work,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Healthcare providers, Patients, Medical staff",user1
48,Accepted,2025-08-10 00:00:00,2025-08-12 00:00:00,PROFORMA/10/08/2025,,919.63/711PLN,Project 48: Voice-controlled Innovation,Social,Voice-controlled lab equipment interface.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Healthcare providers, Patients, Medical staff",admin
47,Accepted,2025-08-25 00:00:00,2025-09-06 00:00:00,PROFORMA/27/08/2025,,465.20/808PLN,Project 47: Automated Innovation,ENERGY,Automated grant matching service for researchers.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","City residents, Urban planners, Government",user1
46,On Review,2025-10-30 00:00:00,2025-11-05 00:00:00,PROFORMA/04/11/2025,,792.51/232PLN,Project 46: Smart Innovation,HEALTH,Smart building energy management system.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","SMEs, Startups, Tech companies",user2
45,Accepted,2025-09-25 00:00:00,2025-09-29 00:00:00,PROFORMA/25/09/2025,,182.36/403PLN,Project 45: Predictive Innovation,HEALTH,Predictive model for student dropout prevention.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","City residents, Urban planners, Government",admin
44,On Review,2025-09-04 00:00:00,2025-09-16 00:00:00,PROFORMA/05/09/2025,,628.62/792PLN,Project 44: AI-based Innovation,Social,AI-based news fact-checking tool.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Students, Researchers, Academic institutions",user4
43,On Review,2025-07-28 00:00:00,2025-08-04 00:00:00,PROFORMA/04/08/2025,,791.37/621PLN,Project 43: Carbon Innovation,Technology,Carbon footprint calculator for supply chains.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Students, Researchers, Academic institutions",user3
42,Rejected,2025-08-27 00:00:00,2025-08-29 00:00:00,PROFORMA/27/08/2025,,188.46/541PLN,Project 42: Automated Innovation,Social,Automated accessibility checker for web applications.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","City residents, Urban planners, Government",admin
41,On Review,2025-08-10 00:00:00,2025-08-22 00:00:00,PROFORMA/14/08/2025,,477.74/345PLN,Project 41: Virtual Innovation,ENERGY,Virtual career counseling platform with AI guidance.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Engineers, Industrial facilities, Manufacturing",user3
40,On Review,2025-09-24 00:00:00,2025-10-04 00:00:00,PROFORMA/30/09/2025,,650.10/789PLN,Project 40: Smart Innovation,HEALTH,Smart irrigation system for agricultural optimization.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Students, Researchers, Academic institutions",user1
39,On Review,2025-09-25 00:00:00,2025-09-26 00:00:00,PROFORMA/25/09/2025,,260.53/998PLN,Project 39: Real-time Innovation,HEALTH,Real-time wildfire detection using satellite imagery.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Engineers, Industrial facilities, Manufacturing",admin
38,Accepted,2025-08-24 00:00:00,2025-08-25 00:00:00,PROFORMA/25/08/2025,,704.37/907PLN,Project 38: Automated Innovation,HEALTH,Automated scientific literature search engine.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","SMEs, Startups, Tech companies",user1
37,On Review,2025-09-11 00:00:00,2025-09-11 00:00:00,PROFORMA/11/09/2025,,204.57/156PLN,Project 37: 3D Innovation,ENERGY,3D printing marketplace for custom medical devices.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Students, Researchers, Academic institutions",user2
36,On Review,2025-11-04 00:00:00,2025-11-06 00:00:00,PROFORMA/06/11/2025,,783.68/164PLN,Project 36: Waste Innovation,Technology,Waste management optimizer using IoT sensors.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","SMEs, Startups, Tech companies",admin
35,Rejected,2025-11-09 00:00:00,2025-11-19 00:00:00,PROFORMA/19/11/2025,,983.86/671PLN,Project 35: AI-powered Innovation,HEALTH,AI-powered mental health support chatbot.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Students, Researchers, Academic institutions",user2
34,Rejected,2025-09-15 00:00:00,2025-09-16 00:00:00,PROFORMA/16/09/2025,,557.32/311PLN,Project 34: Smart Innovation,Technology,Smart parking system with real-time availability updates.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Students, Researchers, Academic institutions",user2
33,Rejected,2025-10-01 00:00:00,2025-10-02 00:00:00,PROFORMA/01/10/2025,,449.96/270PLN,Project 33: Automated Innovation,AI,Automated code review tool using machine learning.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Students, Researchers, Academic institutions",admin
32,On Review,2025-08-27 00:00:00,2025-08-28 00:00:00,PROFORMA/28/08/2025,,971.25/549PLN,Project 32: Blockchain Innovation,HEALTH,Blockchain supply chain tracker for sustainable products.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Engineers, Industrial facilities, Manufacturing",user2
31,On Review,2025-09-06 00:00:00,2025-09-09 00:00:00,PROFORMA/06/09/2025,,504.69/415PLN,Project 31: Virtual Innovation,Technology,Virtual reality platform for remote laboratory work.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Healthcare providers, Patients, Medical staff",user4
30,Rejected,2025-07-25 00:00:00,2025-07-26 00:00:00,PROFORMA/26/07/2025,,319.88/561PLN,Project 30: Collaborative Innovation,AI,Collaborative idea board for innovation teams.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","City residents, Urban planners, Government",admin
29,On Review,2025-10-17 00:00:00,2025-10-17 00:00:00,PROFORMA/17/10/2025,,803.41/749PLN,Project 29: Data Innovation,HEALTH,Data anonymization tool for sensitive research datasets.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","SMEs, Startups, Tech companies",user1
28,On Review,2025-09-02 00:00:00,2025-09-03 00:00:00,PROFORMA/03/09/2025,,273.86/164PLN,Project 28: Automated Innovation,ENERGY,Automated scheduling assistant for research teams.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Engineers, Industrial facilities, Manufacturing",user4
27,On Review,2025-09-13 00:00:00,2025-09-27 00:00:00,PROFORMA/14/09/2025,,866.96/539PLN,Project 27: Research Innovation,HEALTH,Research impact visualization dashboard.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Healthcare providers, Patients, Medical staff",admin
26,Rejected,2025-08-16 00:00:00,2025-08-22 00:00:00,PROFORMA/19/08/2025,,937.65/163PLN,Project 26: Predictive Innovation,ENERGY,Predictive maintenance for laboratory equipment.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Students, Researchers, Academic institutions",user2
25,On Review,2025-09-13 00:00:00,2025-09-21 00:00:00,PROFORMA/18/09/2025,,606.17/322PLN,Project 25: AI-based Innovation,TRANSPORT,AI-based reviewer assignment for journals.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Healthcare providers, Patients, Medical staff",user2
24,Rejected,2025-09-17 00:00:00,2025-09-28 00:00:00,PROFORMA/26/09/2025,,950.38/100PLN,Project 24: Real-time Innovation,AI,Real-time translation tool for international collaboration.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","City residents, Urban planners, Government",admin
23,Accepted,2025-08-24 00:00:00,2025-08-27 00:00:00,PROFORMA/24/08/2025,,424.34/648PLN,Project 23: Open Innovation,TRANSPORT,Open data portal for city infrastructure projects.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Engineers, Industrial facilities, Manufacturing",user1
22,Accepted,2025-11-10 00:00:00,2025-11-12 00:00:00,PROFORMA/12/11/2025,,184.24/499PLN,Project 22: Speech-to-text Innovation,HEALTH,Speech-to-text tool for academic interviews.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Healthcare providers, Patients, Medical staff",user4
21,On Review,2025-08-19 00:00:00,2025-08-29 00:00:00,PROFORMA/27/08/2025,,291.33/805PLN,Project 21: AI-powered Innovation,TRANSPORT,AI-powered literature review assistant.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Students, Researchers, Academic institutions",admin
20,Accepted,2025-11-16 00:00:00,2025-11-23 00:00:00,PROFORMA/17/11/2025,,125.14/664PLN,Project 20: Digital Innovation,TRANSPORT,Digital twin simulation for urban planning.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Healthcare providers, Patients, Medical staff",user4
19,Rejected,2025-10-05 00:00:00,2025-10-09 00:00:00,PROFORMA/07/10/2025,,776.11/422PLN,Project 19: Energy Innovation,Technology,Energy consumption dashboard for smart homes.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Engineers, Industrial facilities, Manufacturing",user1
18,On Review,2025-11-11 00:00:00,2025-11-16 00:00:00,PROFORMA/16/11/2025,,866.65/851PLN,Project 18: Automated Innovation,TRANSPORT,Automated grant application reviewer using NLP.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Students, Researchers, Academic institutions",admin
17,On Review,2025-08-07 00:00:00,2025-08-18 00:00:00,PROFORMA/17/08/2025,,168.47/816PLN,Project 17: AI-based Innovation,ENERGY,AI-based plagiarism detection for research publications.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Engineers, Industrial facilities, Manufacturing",user4
16,On Review,2025-07-31 00:00:00,2025-08-05 00:00:00,PROFORMA/04/08/2025,,661.90/384PLN,Project 16: Crowdsourced Innovation,TRANSPORT,Crowdsourced mapping tool for disaster response coordination.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","SMEs, Startups, Tech companies",user1
15,On Review,2025-10-14 00:00:00,2025-10-15 00:00:00,PROFORMA/14/10/2025,,187.87/772PLN,Project 15: Remote Innovation,Technology,Remote patient monitoring system using wearable devices.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","SMEs, Startups, Tech companies",admin
14,On Review,2025-10-04 00:00:00,2025-10-13 00:00:00,PROFORMA/10/10/2025,,621.73/672PLN,Project 14: Personalized Innovation,Social,Personalized learning recommendation engine for online education.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Students, Researchers, Academic institutions",user4
13,On Review,2025-10-20 00:00:00,2025-11-02 00:00:00,PROFORMA/29/10/2025,,721.20/810PLN,Project 13: IoT Innovation,HEALTH,IoT platform for real-time air quality monitoring.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Students, Researchers, Academic institutions",user1
12,Accepted,2025-09-15 00:00:00,2025-09-18 00:00:00,PROFORMA/18/09/2025,,269.78/976PLN,Project 12: Predictive Innovation,HEALTH,Predictive analytics for hospital resource management.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","SMEs, Startups, Tech companies",admin
11,On Review,2025-09-27 00:00:00,2025-09-27 00:00:00,PROFORMA/27/09/2025,,611.97/110PLN,Project 11: Blockchain-based Innovation,ENERGY,Blockchain-based credential verification for academic records.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","City residents, Urban planners, Government",user3
10,Accepted,2025-09-12 00:00:00,2025-09-21 00:00:00,PROFORMA/13/09/2025,,863.95/969PLN,Project 10: Sustainable Innovation,ENERGY,Sustainable transport model integrating electric mobility data.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Students, Researchers, Academic institutions",user3
9,Accepted,2025-10-03 00:00:00,2025-10-12 00:00:00,PROFORMA/05/10/2025,,124.82/436PLN,Project 9: AI-powered Innovation,ENERGY,AI-powered emotion recognition for improving user experience design.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","City residents, Urban planners, Government",admin
8,Accepted,2025-08-18 00:00:00,2025-08-18 00:00:00,PROFORMA/18/08/2025,,109.18/269PLN,Project 8: Natural Innovation,Technology,Natural language model that summarizes technical research papers.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","SMEs, Startups, Tech companies",user2
7,Accepted,2025-08-07 00:00:00,2025-08-09 00:00:00,PROFORMA/09/08/2025,,807.48/514PLN,Project 7: Smart Innovation,ENERGY,Smart energy meter analyzing consumption patterns using AI.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","SMEs, Startups, Tech companies",user1
6,Rejected,2025-09-03 00:00:00,2025-09-03 00:00:00,PROFORMA/03/09/2025,,422.43/309PLN,Project 6: Computer Innovation,TRANSPORT,Computer vision tool for detecting anomalies in industrial processes.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","City residents, Urban planners, Government",admin
5,On Review,2025-08-04 00:00:00,2025-08-05 00:00:00,PROFORMA/05/08/2025,,882.29/763PLN,Project 5: Chatbot Innovation,Social,Chatbot platform for academic support and student engagement.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Students, Researchers, Academic institutions",user1
4,Accepted,2025-07-26 00:00:00,2025-08-09 00:00:00,PROFORMA/04/08/2025,,201.83/282PLN,Project 4: Renewable Innovation,HEALTH,Renewable energy optimizer for reducing waste in solar grid systems.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","SMEs, Startups, Tech companies",user1
3,On Review,2025-09-06 00:00:00,2025-09-06 00:00:00,PROFORMA/06/09/2025,,168.23/387PLN,Project 3: AI-driven Innovation,Social,AI-driven tool for automating document classification and tagging.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Students, Researchers, Academic institutions",admin
2,On Review,2025-10-08 00:00:00,2025-10-16 00:00:00,PROFORMA/08/10/2025,,366.77/769PLN,Project 2: Machine Innovation,ENERGY,Machine learning model for predicting traffic congestion in smart cities.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","Students, Researchers, Academic institutions",user4
1,Accepted,2025-08-30 00:00:00,2025-09-04 00:00:00,PROFORMA/02/09/2025,,727.37/262PLN,Project 1: AI Innovation,TRANSPORT,AI assistant for monitoring research progress and suggesting funding opportunities.,"Integer rutrum, odio at scelerisque fermentum, purus libero mattis mi, sed tristique mauris sapien eu tortor. Donec accumsan, urna vel bibendum faucibus, lorem nisi consequat justo, vitae venenatis eros magna id ex.","SMEs, Startups, Tech companies",user1
52,Accepted,2025-11-20,2026-05-15,PROFORMA/52/AI,2025-11-20,52.00/886PLN,Testing apps,AI,Autmated testing,Testing of apps ,students,admin
